lines(16).
columns(16).

line(1).
line(2).
line(3).
line(4).
line(5).
line(6).
line(7).
line(8).
line(9).
line(10).
line(11).
line(12).
line(13).
line(14).
line(15).
line(16).

column(1).
column(2).
column(3).
column(4).
column(5).
column(6).
column(7).
column(8).
column(9).
column(10).
column(11).
column(12).
column(13).
column(14).
column(15).
column(16).


colsum(1, 4).
colsum(2, 2).
colsum(3, 5).
colsum(4, 2).
colsum(5, 2).
colsum(6, 5).
colsum(7, 0).
colsum(8, 5).
colsum(9, 3).
colsum(10, 4).
colsum(11, 2).
colsum(12, 4).
colsum(13, 3).
colsum(14, 3).
colsum(15, 4).
colsum(16, 3).

rowsum(1, 3).
rowsum(2, 4).
rowsum(3, 3).
rowsum(4, 5).
rowsum(5, 1).
rowsum(6, 5).
rowsum(7, 1).
rowsum(8, 5).
rowsum(9, 1).
rowsum(10, 5).
rowsum(11, 2).
rowsum(12, 4).
rowsum(13, 3).
rowsum(14, 2).
rowsum(15, 4).
rowsum(16, 3).

tree(1, 3).
tree(1, 6).
tree(1, 11).
tree(1, 15).
tree(1, 16).
tree(2, 2).
tree(2, 9).
tree(2, 12).
tree(3, 8).
tree(3, 15).
tree(4, 1).
tree(4, 7).
tree(4, 10).
tree(4, 12).
tree(4, 15).
tree(5, 3).
tree(5, 4).
tree(5, 8).
tree(5, 15).
tree(6, 9).
tree(7, 1).
tree(7, 11).
tree(8, 4).
tree(8, 5).
tree(8, 14).
tree(9, 7).
tree(9, 8).
tree(9, 9).
tree(9, 13).
tree(9, 15).
tree(10, 6).
tree(10, 13).
tree(11, 2).
tree(11, 3).
tree(11, 10).
tree(11, 15).
tree(12, 7).
tree(12, 14).
tree(13, 2).
tree(13, 4).
tree(13, 10).
tree(14, 1).
tree(14, 10).
tree(14, 12).
tree(15, 3).
tree(15, 7).
tree(15, 8).
tree(15, 12).
tree(15, 15).
tree(16, 5).
tree(16, 13).

free(1, 1).
free(1, 2).
free(1, 4).
free(1, 5).
free(1, 7).
free(1, 8).
free(1, 9).
free(1, 10).
free(1, 12).
free(1, 13).
free(1, 14).
free(2, 1).
free(2, 3).
free(2, 4).
free(2, 5).
free(2, 6).
free(2, 7).
free(2, 8).
free(2, 10).
free(2, 11).
free(2, 13).
free(2, 14).
free(2, 15).
free(2, 16).
free(3, 1).
free(3, 2).
free(3, 3).
free(3, 4).
free(3, 5).
free(3, 6).
free(3, 7).
free(3, 9).
free(3, 10).
free(3, 11).
free(3, 12).
free(3, 13).
free(3, 14).
free(3, 16).
free(4, 2).
free(4, 3).
free(4, 4).
free(4, 5).
free(4, 6).
free(4, 8).
free(4, 9).
free(4, 11).
free(4, 13).
free(4, 14).
free(4, 16).
free(5, 1).
free(5, 2).
free(5, 5).
free(5, 6).
free(5, 7).
free(5, 9).
free(5, 10).
free(5, 11).
free(5, 12).
free(5, 13).
free(5, 14).
free(5, 16).
free(6, 1).
free(6, 2).
free(6, 3).
free(6, 4).
free(6, 5).
free(6, 6).
free(6, 7).
free(6, 8).
free(6, 10).
free(6, 11).
free(6, 12).
free(6, 13).
free(6, 14).
free(6, 15).
free(6, 16).
free(7, 2).
free(7, 3).
free(7, 4).
free(7, 5).
free(7, 6).
free(7, 7).
free(7, 8).
free(7, 9).
free(7, 10).
free(7, 12).
free(7, 13).
free(7, 14).
free(7, 15).
free(7, 16).
free(8, 1).
free(8, 2).
free(8, 3).
free(8, 6).
free(8, 7).
free(8, 8).
free(8, 9).
free(8, 10).
free(8, 11).
free(8, 12).
free(8, 13).
free(8, 15).
free(8, 16).
free(9, 1).
free(9, 2).
free(9, 3).
free(9, 4).
free(9, 5).
free(9, 6).
free(9, 10).
free(9, 11).
free(9, 12).
free(9, 14).
free(9, 16).
free(10, 1).
free(10, 2).
free(10, 3).
free(10, 4).
free(10, 5).
free(10, 7).
free(10, 8).
free(10, 9).
free(10, 10).
free(10, 11).
free(10, 12).
free(10, 14).
free(10, 15).
free(10, 16).
free(11, 1).
free(11, 4).
free(11, 5).
free(11, 6).
free(11, 7).
free(11, 8).
free(11, 9).
free(11, 11).
free(11, 12).
free(11, 13).
free(11, 14).
free(11, 16).
free(12, 1).
free(12, 2).
free(12, 3).
free(12, 4).
free(12, 5).
free(12, 6).
free(12, 8).
free(12, 9).
free(12, 10).
free(12, 11).
free(12, 12).
free(12, 13).
free(12, 15).
free(12, 16).
free(13, 1).
free(13, 3).
free(13, 5).
free(13, 6).
free(13, 7).
free(13, 8).
free(13, 9).
free(13, 11).
free(13, 12).
free(13, 13).
free(13, 14).
free(13, 15).
free(13, 16).
free(14, 2).
free(14, 3).
free(14, 4).
free(14, 5).
free(14, 6).
free(14, 7).
free(14, 8).
free(14, 9).
free(14, 11).
free(14, 13).
free(14, 14).
free(14, 15).
free(14, 16).
free(15, 1).
free(15, 2).
free(15, 4).
free(15, 5).
free(15, 6).
free(15, 9).
free(15, 10).
free(15, 11).
free(15, 13).
free(15, 14).
free(15, 16).
free(16, 1).
free(16, 2).
free(16, 3).
free(16, 4).
free(16, 6).
free(16, 7).
free(16, 8).
free(16, 9).
free(16, 10).
free(16, 11).
free(16, 12).
free(16, 14).
free(16, 15).
free(16, 16).
