lines(6).
columns(6).
line(1).
line(2).
line(3).
line(4).
line(5).
line(6).
column(1).
column(2).
column(3).
column(4).
column(5).
column(6).

rowsum(1, 0).
rowsum(2, 3).
rowsum(3, 0).
rowsum(4, 1).
rowsum(5, 2).
rowsum(6, 1).

colsum(1, 1).
colsum(2, 1).
colsum(3, 1).
colsum(4, 1).
colsum(5, 1).
colsum(6, 2).

tree(1, 3).
tree(2, 6).
tree(3, 1).
tree(4, 4).
tree(5, 1).
tree(5, 6).
tree(6, 5).

free(1, 1).
free(1, 2).
free(1, 4).
free(1, 5).
free(1, 6).
free(2, 1).
free(2, 2).
free(2, 3).
free(2, 4).
free(2, 5).
free(3, 2).
free(3, 3).
free(3, 4).
free(3, 5).
free(3, 6).
free(4, 1).
free(4, 2).
free(4, 3).
free(4, 5).
free(4, 6).
free(5, 2).
free(5, 3).
free(5, 4).
free(5, 5).
free(6, 1).
free(6, 2).
free(6, 3).
free(6, 4).
free(6, 6).
