lines(8).
columns(8).

line(1).
line(2).
line(3).
line(4).
line(5).
line(6).
line(7).
line(8).

column(1).
column(2).
column(3).
column(4).
column(5).
column(6).
column(7).
column(8).


colsum(1, 2).
colsum(2, 0).
colsum(3, 3).
colsum(4, 0).
colsum(5, 2).
colsum(6, 2).
colsum(7, 0).
colsum(8, 3).

rowsum(1, 1).
rowsum(2, 2).
rowsum(3, 2).
rowsum(4, 2).
rowsum(5, 0).
rowsum(6, 3).
rowsum(7, 1).
rowsum(8, 1).

tree(1, 3).
tree(1, 5).
tree(1, 7).
tree(3, 2).
tree(4, 2).
tree(4, 7).
tree(4, 8).
tree(5, 5).
tree(6, 2).
tree(6, 4).
tree(8, 5).
tree(8, 8).

free(1, 1).
free(1, 2).
free(1, 4).
free(1, 6).
free(1, 8).
free(2, 1).
free(2, 2).
free(2, 3).
free(2, 4).
free(2, 5).
free(2, 6).
free(2, 7).
free(2, 8).
free(3, 1).
free(3, 3).
free(3, 4).
free(3, 5).
free(3, 6).
free(3, 7).
free(3, 8).
free(4, 1).
free(4, 3).
free(4, 4).
free(4, 5).
free(4, 6).
free(5, 1).
free(5, 2).
free(5, 3).
free(5, 4).
free(5, 6).
free(5, 7).
free(5, 8).
free(6, 1).
free(6, 3).
free(6, 5).
free(6, 6).
free(6, 7).
free(6, 8).
free(7, 1).
free(7, 2).
free(7, 3).
free(7, 4).
free(7, 5).
free(7, 6).
free(7, 7).
free(7, 8).
free(8, 1).
free(8, 2).
free(8, 3).
free(8, 4).
free(8, 6).
free(8, 7).
